x,y,value
-13165534.1569,4048915.075,154
-13169104.1569,4060855.075,65535
-13168594.1569,4052545.075,154
-13156744.1569,4059325.075,65535
-13157704.1569,4044955.075,65535
-13165624.1569,4060825.075,65535
-13169404.1569,4064185.075,65535
-13168054.1569,4051885.075,154
-13158274.1569,4051495.075,36020
-13169614.1569,4050385.075,154
-13165234.1569,4051525.075,154
-13169164.1569,4055035.075,65535
-13162864.1569,4063765.075,37682
-13159744.1569,4061485.075,65535
-13159834.1569,4060555.075,65535
-13166914.1569,4061425.075,65535
-13163884.1569,4051915.075,35981
-13163314.1569,4061395.075,65535
-13165294.1569,4064125.075,65535
-13167724.1569,4050925.075,154
-13159594.1569,4059385.075,65535
-13160464.1569,4061755.075,65535
-13158964.1569,4046665.075,65535
-13162234.1569,4064665.075,65535
-13166074.1569,4052365.075,154
-13164244.1569,4050445.075,154
-13168684.1569,4058905.075,65535
-13161874.1569,4062925.075,65535
-13161124.1569,4063465.075,65535
-13167754.1569,4064515.075,65535
-13164064.1569,4061035.075,154
-13167424.1569,4056595.075,65535
-13164244.1569,4054045.075,36038
-13156204.1569,4047355.075,65535
-13168204.1569,4059685.075,65535
-13157434.1569,4053985.075,65535
-13161334.1569,4060585.075,65535
-13166614.1569,4048645.075,65535
-13163614.1569,4046665.075,154
-13165924.1569,4060735.075,65535
-13167994.1569,4060735.075,65535
-13167724.1569,4056295.075,65535
-13166254.1569,4064275.075,65535
-13160284.1569,4063225.075,65535
-13162834.1569,4047865.075,154
-13160434.1569,4051015.075,154
-13162564.1569,4049725.075,154
-13163164.1569,4051585.075,36024
-13156594.1569,4052695.075,65535
-13157314.1569,4062655.075,65535
-13156174.1569,4062115.075,65535
-13160464.1569,4049905.075,154
-13158544.1569,4059745.075,65535
-13161304.1569,4053835.075,36026
-13169314.1569,4049815.075,65535
-13162744.1569,4058125.075,154
-13160014.1569,4051585.075,36048
-13166344.1569,4047385.075,65535
-13163044.1569,4061815.075,65535
-13167244.1569,4045975.075,65535
-13166614.1569,4061125.075,65535
-13165354.1569,4051135.075,154
-13160464.1569,4046725.075,65535
-13162954.1569,4063195.075,37682
-13169944.1569,4057015.075,65535
-13156954.1569,4050655.075,36038
-13157464.1569,4052455.075,36048
-13156354.1569,4048015.075,65535
-13165084.1569,4063045.075,65535
-13166674.1569,4053385.075,747
-13160014.1569,4061125.075,65535
-13163074.1569,4061515.075,65535
-13168924.1569,4058035.075,65535
-13159564.1569,4052335.075,36038
-13163734.1569,4063405.075,38030
-13169914.1569,4053655.075,65535
-13156204.1569,4047445.075,65535
-13158214.1569,4059535.075,65535
-13165354.1569,4063465.075,65535
-13163284.1569,4056655.075,36025
-13166104.1569,4054375.075,36038
-13169464.1569,4049785.075,65535
-13169674.1569,4060315.075,65535
-13158514.1569,4053625.075,154
-13166464.1569,4061275.075,65535
-13160074.1569,4055995.075,154
-13159084.1569,4057435.075,65535
-13159324.1569,4056565.075,65535
-13169104.1569,4061845.075,65535
-13168954.1569,4061185.075,65535
-13166224.1569,4050055.075,154
-13166944.1569,4059715.075,65535
-13156354.1569,4062955.075,65535
-13160434.1569,4054975.075,36038
-13163104.1569,4047685.075,154
-13167814.1569,4059715.075,65535
-13165714.1569,4049215.075,154
-13164784.1569,4058215.075,36038
-13166644.1569,4064545.075,65535
-13162744.1569,4055785.075,35979
-13167154.1569,4050745.075,154
-13163014.1569,4050745.075,154
-13169344.1569,4054015.075,65535
-13162084.1569,4046965.075,154
-13158214.1569,4057315.075,65535
-13164694.1569,4056595.075,36038
-13159204.1569,4051225.075,154
-13159894.1569,4057435.075,65535
-13168534.1569,4062835.075,65535
-13169164.1569,4048795.075,65535
-13159684.1569,4053355.075,35984
-13165084.1569,4052185.075,154
-13158124.1569,4063945.075,65535
-13165924.1569,4056325.075,36038
-13168924.1569,4053175.075,65535
-13166284.1569,4055515.075,36038
-13164274.1569,4059355.075,154
-13167844.1569,4063255.075,65535
-13156624.1569,4059565.075,65535
-13159384.1569,4060705.075,65535
-13166194.1569,4055305.075,36038
-13159654.1569,4045195.075,65535
-13165054.1569,4053415.075,35988
-13168204.1569,4059055.075,65535
-13164604.1569,4056115.075,36038
-13160944.1569,4048825.075,154
-13162564.1569,4056625.075,154
-13159384.1569,4057675.075,65535
-13165354.1569,4057015.075,36038
-13164154.1569,4061575.075,154
-13166944.1569,4050175.075,154
-13168774.1569,4049875.075,65535
-13157794.1569,4053565.075,65535
-13160584.1569,4050535.075,154
-13169134.1569,4062655.075,65535
-13165924.1569,4058425.075,36038
-13158964.1569,4057735.075,65535
-13164454.1569,4055485.075,35984
-13168984.1569,4063915.075,65535
-13162054.1569,4045105.075,65535
-13163764.1569,4062025.075,37682
-13165864.1569,4060375.075,65535
-13163524.1569,4049335.075,154
-13159354.1569,4057495.075,65535
-13163374.1569,4053355.075,36038
-13161364.1569,4061695.075,65535
-13162384.1569,4060645.075,65535
-13161484.1569,4057105.075,65535
-13157464.1569,4060555.075,65535
-13165504.1569,4057345.075,36038
-13166494.1569,4047235.075,65535
-13162414.1569,4054285.075,36048
-13166764.1569,4057825.075,36048
-13167484.1569,4057525.075,36038
-13168624.1569,4052245.075,154
-13169854.1569,4049785.075,65535
-13169824.1569,4059685.075,65535
-13160254.1569,4056475.075,154
-13166344.1569,4057225.075,36038
-13169764.1569,4053535.075,65535
-13163314.1569,4048795.075,154
-13165414.1569,4055005.075,36038
-13165264.1569,4052935.075,36038
-13167304.1569,4047175.075,65535
